TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,SEASON
1610612753,Orlando Magic,40,22,18,0.55,156.36333333333334,85,245,0.347,9,52,0.173,120,163,0.736,59,95,154,47,57.0,24,20,21,110,0,299,-4.0,18,15,11,13,17,24,16,27,26,15,26,12,14,21,6,16,14,22,22,16,11,20,16,16,23,15,1997-98
1610612755,Philadelphia 76ers,49,17,32,0.347,172.39333333333335,80,249,0.321,10,53,0.189,141,184,0.766,50,98,148,48,51.0,31,31,21,117,0,311,-53.0,3,22,28,23,14,26,13,29,23,14,25,8,9,8,14,14,15,19,15,3,2,20,20,16,19,28,1997-98
1610612756,Phoenix Suns,39,24,15,0.615,187.915,130,300,0.433,15,58,0.259,107,145,0.738,53,126,179,87,61.0,31,21,17,116,3,382,33.0,20,10,6,6,7,3,6,7,14,9,16,20,20,20,12,5,5,1,26,3,10,10,19,1,8,9,1997-98
1610612757,Portland Trail Blazers,47,26,21,0.553,176.87166666666667,117,274,0.427,21,57,0.368,152,204,0.745,60,108,168,58,62.0,18,19,26,115,1,407,31.0,6,6,15,12,11,7,11,9,5,10,3,4,4,16,3,11,11,11,28,23,13,24,18,7,5,10,1997-98
1610612758,Sacramento Kings,37,16,21,0.432,152.86166666666668,87,233,0.373,13,51,0.255,98,150,0.653,44,90,134,48,51.0,21,22,16,108,0,285,-31.0,23,23,15,20,18,23,20,19,18,17,18,22,18,29,21,19,20,19,15,21,9,7,12,16,24,19,1997-98
1610612759,San Antonio Spurs,40,27,13,0.675,162.19166666666666,103,237,0.435,10,46,0.217,108,157,0.688,48,131,179,58,54.0,18,23,17,90,0,324,67.0,18,4,3,4,15,13,19,6,23,21,24,19,16,26,17,3,5,11,19,23,4,10,7,16,15,4,1997-98
1610612760,Seattle SuperSonics,37,27,10,0.73,140.43333333333334,92,218,0.422,24,70,0.343,92,119,0.773,46,79,125,49,37.0,16,18,10,72,2,300,42.0,23,4,1,2,24,21,24,10,2,4,8,25,25,5,18,25,24,18,5,28,17,1,2,2,22,6,1997-98
1610612761,Toronto Raptors,44,13,31,0.295,182.05,111,296,0.375,17,63,0.27,116,157,0.739,72,100,172,68,57.0,37,48,33,131,0,355,-45.0,10,25,26,27,9,10,7,18,8,6,15,14,16,19,2,13,8,8,22,2,1,29,24,16,12,23,1997-98
1610612762,Utah Jazz,42,29,13,0.69,148.15833333333333,104,213,0.488,12,32,0.375,146,184,0.793,33,93,126,76,50.0,27,14,18,83,2,366,75.0,13,3,3,3,22,12,25,2,20,27,2,6,9,4,28,18,23,3,13,11,22,14,5,2,10,2,1997-98
1610612763,Vancouver Grizzlies,42,14,28,0.333,158.78,101,243,0.416,10,43,0.233,99,124,0.798,38,89,127,74,46.0,19,19,26,120,0,311,-50.0,13,24,25,25,16,15,17,13,23,24,20,21,24,3,25,20,22,4,8,22,13,24,21,16,19,26,1997-98
1610612764,Washington Wizards,45,20,25,0.444,173.35333333333332,100,247,0.405,4,32,0.125,112,167,0.671,50,96,146,42,48.0,23,16,15,99,1,316,-22.0,8,17,21,19,13,16,15,15,28,27,27,17,13,27,14,15,16,26,11,18,19,6,11,7,18,17,1997-98
1610612737,Atlanta Hawks,27,15,12,0.556,109.95333333333333,68,185,0.368,17,56,0.304,73,102,0.716,41,54,95,37,22.0,20,13,10,71,1,226,-10.0,15,10,10,11,12,13,6,22,5,3,15,14,13,19,3,20,12,15,3,10,8,13,16,2,13,21,1998-99
1610612738,Boston Celtics,21,9,12,0.429,105.01333333333334,68,165,0.412,14,35,0.4,70,108,0.648,37,47,84,38,30.0,22,8,5,76,0,220,-7.0,26,24,10,22,15,13,13,11,9,16,4,16,9,27,8,25,21,13,15,5,20,1,23,10,15,20,1998-99
